id,Authority,Contact,contact_email,Contact_name,Indigenous Nation,Land Council,Latitude,Longitude,outfallName,State,Type
Ballina Shire Council,02 6686 7055,reception@jali.com.au,,Bundjalung,Jali Land Council,-28.8221330,153.6083800,Skennars Head (Lennox Head),New South Wales,Ocean
Unity Water,07 3224 1200,gubbigubbiinfo@gmail.com,,Gubbi Gubbi,Queensland South Native Title Services Limited,-26.63958,153.06081,Maroochydore,Queensland,River
Unity Water,07 3224 1200,gubbigubbiinfo@gmail.com,,Yuggera,Queensland South Native Title Services Limited,-27.27061,152.99809,Murrumba Downs,Queensland,River
Unity Water,07 3224 1200,gubbigubbiinfo@gmail.com,,Gubbi Gubbi,Queensland South Native Title Services Limited,-26.639465,153.06037,Nambour,Queensland,River
Unity Water,07 3224 1200,gubbigubbiinfo@gmail.com,,Yuggera/Gubbi Gubbi,Queensland South Native Title Services Limited,-27.25013,153.06895,Redcliffe,Queensland,Estuarine
Veolia Water,07 3224 1200,reception@qsnts.com.au,,Yuggera,Queensland South Native Title Services Limited,-27.38642,153.149029,Luggage Point Advanced,Queensland,Ocean
Wannon Water,0429 544 343,marcus.clarke@easternmaar.com.au,Marcus Clarke (CEO),Gunditjmara,Eastern Maar Aboriginal Corporation,-38.39760566,142.2445026,Port Fairy Domestic WRP,Victoria,Ocean
Wannon Water,03 5527 1427,reception@gunditjmirring.com,,Gunditjmara,Gunditj Mirring Traditional Owners Aboriginal Corporation,-38.3830738,141.5970482,Portland,Victoria,Ocean
Wannon Water,0429 544 343,marcus.clarke@easternmaar.com.au,Marcus Clarke (CEO),Gunditjmara,Eastern Maar Aboriginal Corporation,-38.39569873,142.4570704,Warrnambool WRP,Victoria,Ocean
Water Corporation,08 9358 7400,reception@noongar.org.au,,Wajuk,South West Aboriginal Land and Sea Council Aboriginal Corporation,-31.61679,115.624254,Alkimos,Western Australia,Ocean
Water Corporation,08 9358 7400,reception@noongar.org.au,,Wajuk,South West Aboriginal Land and Sea Council Aboriginal Corporation,-31.763111,115.711619,Beenyup,Western Australia,Ocean
Water Corporation,08 9358 7400,reception@noongar.org.au,,Wardandi/Kaniyang,South West Aboriginal Land and Sea Council Aboriginal Corporation,-33.37934,115.603853,Bunbury,Western Australia,Ocean
Water Corporation,08 9358 7400,reception@noongar.org.au,,Wardandi,South West Aboriginal Land and Sea Council Aboriginal Corporation,-33.650636,115.323845,Busselton (North Wetlands),Western Australia,Ocean
Water Corporation,08 9358 7400,reception@noongar.org.au,,Wardandi,South West Aboriginal Land and Sea Council Aboriginal Corporation,-33.660418,115.323078,Busselton (South Wetlands),Western Australia,Ocean
Water Corporation,N/A,,,N/A,N/A,-10.432289,105.661503,Christmas Island,Western Australia,Ocean
Water Corporation,08 9358 7400,reception@noongar.org.au,,Wajuk,South West Aboriginal Land and Sea Council Aboriginal Corporation,-32.290009,115.650944,East Rockingham,Western Australia,Ocean
Water Corporation,N/A,,,N/A,N/A,-12.110673,96.893388,Home Island,Western Australia,Ocean
Water Corporation,08 9358 7400,reception@noongar.org.au,,Wajuk,South West Aboriginal Land and Sea Council Aboriginal Corporation,-32.279063,115.680574,Point Peron,Western Australia,Ocean
Water Corporation,08 9358 7400,reception@noongar.org.au,,Wajuk,South West Aboriginal Land and Sea Council Aboriginal Corporation,-31.955283,115.743697,Subiaco,Western Australia,Ocean
Water Corporation,08 9268 7000,N/A,,Nhuwala,Yamatji Marlpa Aboriginal Corporation,-20.671939,117.165018,Wickham,Western Australia,Ocean
Water Corporation,08 9358 7400,reception@noongar.org.au,,Wajuk,South West Aboriginal Land and Sea Council Aboriginal Corporation,-32.279165,115.680337,Woodman Point,Western Australia,Ocean
Westernport Water Corporation,03 9770 1273,admin@bunuronglc.org.au,"Dan Turnbull, CEO",Boonwurrung,Bunurong Land Council Aboriginal Corporation,-38.529857,145.221741,Phillip Island,Victoria,Ocean
Whitsunday Regional Council,07 4042 7000,reception@nqlc.com.au,,Giya,North Queensland Land Council,-20.02545,148.26532,Bowen,Queensland,Ocean
Whitsunday Regional Council,07 4042 7000,reception@nqlc.com.au,,Giya,North Queensland Land Council,-20.2653,148.6936,Cannonvale,Queensland,Ocean
Wide Bay Water,07 4124 9144,admin@butchullaaboriginalcorporation.org,,Badtjala,Butchulla Native Title Aboriginal Corporation,-25.264,152.8098,Eli Creek (Hervey Bay),Queensland,Estuarine
Wide Bay Water,07 4124 9144,admin@butchullaaboriginalcorporation.org,,Badtjala,Butchulla Native Title Aboriginal Corporation,-25.51969,152.726,Maryborough,Queensland,River
Wide Bay Water,07 4124 9144,admin@butchullaaboriginalcorporation.org,,Badtjala,Butchulla Native Title Aboriginal Corporation,-25.31254,152.89785,Pulgul Creek,Queensland,Estuarine
